Title,Data ID,PDF Page Number,count,CSV Download URL,PDF Download URL,Download folder name
Table 5.7.1 Project Activity – Environmental Effects Interaction Matrix for Health and Safety,408937,400,3,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_400_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_400_2.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_400_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7.2 Environmental Effects Assessment Matrix for Health and Safety,408937,405,2,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_405_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_405_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7.2 Environmental Effects Assessment Matrix for Health and Safety,408937,406,2,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_406_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_406_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7.2 Environmental Effects Assessment Matrix for Health and Safety,408937,407,2,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_407_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_407_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7.2 Environmental Effects Assessment Matrix for Health and Safety,408937,408,2,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_408_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_408_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7.2 Environmental Effects Assessment Matrix for Health and Safety,408937,409,2,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_409_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_409_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7.2 Environmental Effects Assessment Matrix for Health and Safety,408937,410,3,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_410_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_410_2.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_410_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7.3 Residual Environmental Effects Summary Matrix for Health and Safety,408937,420,3,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_420_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_420_2.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_420_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.7: Occurrence Rate (%) of Marine Invertebrates,2393199,53,2,http://www.cer-rec.gc.ca/esa-ees/tmx/2393199_53_1.csv; http://www.cer-rec.gc.ca/esa-ees/tmx/2393199_53_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2393199,tmx
Table 5.8-5: Wetland and Open Water Map Units in the Terrestrial Local Study Area Natural Subregion or,2813701,207,5,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_207_1.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_207_2.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_207_3.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_207_4.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_207_5.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2813701,twrbrch
Table 5.8-6: Results of Vegetation Diversity and Wildlife and Fish Habitat Indicators of Wetland Function and Health Assessment by Wetland Class in the Terrestrial Local Study Area,2813701,210,4,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_210_1.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_210_2.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_210_3.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_210_4.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2813701,twrbrch
Table 5.8-7: Results of Water Quality Protection and Flood / Stormwater Storage Attenuation Indicators of Wetland Function and Health Assessment for by Wetland Class in the Terrestrial Local Study Area,2813701,211,2,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_211_1.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_211_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2813701,twrbrch
Table 5.8-8: Results of Industrial Impact Indicators of Wetland Function and Health Assessment by Wetland Class in the Terrestrial Local Study Area,2813701,212,2,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_212_1.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_212_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2813701,twrbrch
Table 5.9-10: Summary of Species Track Densities (Tracks per km-day) by Habitat Type during Winter Track Count Surveys,2814078,22,3,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_22_1.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_22_2.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_22_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2814078,twrbrch
Table 5.9-4: Breeding Bird Relative Abundance by Habitat Group in the Terrestrial Local Study Area During the Breeding Bird Surveys,2814078,17,2,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_17_1.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_17_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2814078,twrbrch
Table 5.9-6: Breeding Bird Species Diversity by Habitat Group in the Terrestrial Local Study Area Habitat Groups Number of Plots Mean Species Diversity(a) Standard Deviation,2814078,18,2,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_18_2.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_18_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2814078,twrbrch
Table 5.9-8: Yellow Rail Plots and Observations by Habitat Type in the Terrestrial Local Study Area Habitat Group(a) Code Number of Plots Number of Plots with Detections(b),2814078,20,4,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_20_2.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_20_3.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_20_4.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2814078_20_5.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2814078,twrbrch
